#,Name,Notes,Player,,Date,Player Video,Difficulty,verifier?
,LIMBO 82-100%,iPad,GDxPiano,,2026-06-13,https://www.youtube.com/watch?v=jOLl8fY79B0 ,demon-extreme,
,Take Two 45%,"keyboard, 2P level",keytoucher1434,,2026-05-14,https://www.instagram.com/p/DYVXQVERc6Q/,demon-medium,
,Mountain King 64%,iPhone,keytoucher1434,,2026-02-07,https://www.instagram.com/p/DUefqF9kRyx/,demon-medium,
,Power Trip,iPad,Pianotopian,,2026-01-09,https://www.youtube.com/watch?v=7QhzGRp4b3c,harder,y
,Blast Processing,iPad,Pianotopian,,2025-12-31,https://www.youtube.com/watch?v=SEItiSlKfeU,harder,
,Blast Processing,iPad,GDxPiano,,2026-01-05,https://www.youtube.com/watch?v=WyEX5C-kObE,harder,
,Jumper,"iPad; 1st, 2nd, 3rd coin",Pianotopian,,2026-01-24,https://www.youtube.com/watch?v=RggnOC4oC8k,harder,
,Jumper ,iPad; 2nd coin,AlphaLynx,,2025-11-05,https://www.instagram.com/p/DQswMHokTOe/,harder,y
,Jumper,iPad; 2nd coin,resonance.society,,2026-04-03,https://www.tiktok.com/@resonance.society/video/7624367902136798485,harder,
,Jumper,keyboard; 2nd coin,veinti.28,,2026-04-18,https://www.instagram.com/reel/DXSobJYCXAv/,harder,
,Jumper,keyboard;,lislpiano,,2026-03-25,https://www.tiktok.com/@lislpiano/video/7621192235937287446,harder,
,Hexagon Force,"iPad, ",GDxPiano,,2026-01-11,https://www.youtube.com/watch?v=GcGnEQPdPc4,insane,y
,Hexagon Force,keyboard,veinti.28,,2026-05-09,https://www.instagram.com/p/DYGBT65PFCc/,insane,
,Time Machine,"iPad; 1st, 2nd coins",AlphaLynx,,2025-11-11,https://www.instagram.com/reel/DQ7AABDCeuc/,harder,y
,Time Machine,"iPad; 1st, 3rd coin",resonance.society,,2026-04-04,https://www.tiktok.com/@resonance.society/video/7624730490087476500,harder,
,Time Machine,iPad,Pianotopian,,2026-03-01,https://www.youtube.com/watch?v=b_JTHeaQd-E,harder,
,The Nightmare,iPad,GDxPiano,,2026-01-09,https://www.youtube.com/watch?v=YVrqJW_jgn8,demon-easy,y
,The Nightmare,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619926885153197342,demon-easy,
,Cant Let Go,"iPad; 1st, 2nd, 3rd coin",AlphaLynx,,2025-11-02,https://www.instagram.com/p/DQkjNVgks4M/,hard,y
,Cant Let Go,"iPad; 1st, 2nd, 3rd coin",Pianotopian,,2025-11-24,https://www.youtube.com/watch?v=th3xdQFE87Q,hard,
,Cant Let Go,iPad; all 3 coins,resonance.society,,2026-04-01,https://www.tiktok.com/@resonance.society/video/7623670627031108884,hard,
,Cant Let Go,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-06-18,https://www.instagram.com/p/DZvWbtMJOh6/,hard,
,Cant Let Go,"keyboard; 1st, 2nd coin",keytoucher1434,,2025-11-16,https://www.tiktok.com/@keytoucher1434/video/7573445894188715295,hard,
,Press Start,iPad,Pianotopian,,2025-12-13,https://www.youtube.com/watch?v=b1sQf4IJec4,normal,y
,Sunshine,keyboard,veinti.28,,2026-05-16,https://www.instagram.com/p/DYaEPJnvUV-/,harder,y
,Electroman Adventures,"iPad, all 3 coins",AlphaLynx,,2025-12-09,https://www.instagram.com/reel/DSBlDaliTRh/,insane,y
