#,Name,Notes,Player,,Date,Player Video,Difficulty,verifier?
1,Magma Bound,iPad,GDxPiano,,2026-07-08,https://www.youtube.com/watch?v=nBUdqbTmLwQ,demon-insane,y
2,Sonic Wave 28-60%,keyboard,nilgd666,,2026-07-11,https://www.tiktok.com/@nilgd666/video/7661383509897989389?is_from_webapp=1&sender_device=pc&web_id=7660715107001959950,demon-extreme,
3,Future Funk,iPad,GDxPiano,,2026-03-03,https://www.youtube.com/watch?v=St4KgD8LMr4,demon-hard,y
4,Jawbreaker,iPad,GDxPiano,,2026-04-19,https://www.youtube.com/watch?v=bbRGglZ9MKw,demon-hard,y
5,Megalovania,iPad,GDxPiano,,2026-03-30,https://www.youtube.com/watch?v=oSbIMuiA4iA,demon-hard,y
6,Azurite 47% + 42-67%,keyboard,veinti.28,,2026-07-17,https://www.instagram.com/p/Da4OZxmPaud/,demon-extreme,
7,Nine Circles,iPad,GDxPiano,,2026-01-14,https://www.youtube.com/watch?v=GkW_tnkcbUc,demon-hard,y
8,Nine Circles,keyboard,veinti.28,,2026-07-07,https://www.tiktok.com/@veinti.28/video/7659911540283378964,demon-hard,
9,Nine Circles,keyboard,nilgd666,,2026-07-16,https://www.tiktok.com/@nilgd666/video/7662912700044889375,demon-hard,
10,Explorers ,iPad,GDxPiano,,2026-03-12,https://www.youtube.com/watch?v=QgdR_ER9ryA,demon-medium,y
11,Ultra Violence,iPad,GDxPiano,,2026-01-26,https://www.youtube.com/watch?v=3huJkycz4C8,demon-medium,y
12,Death Moon,iPad,GDxPiano,,2026-03-17,https://www.youtube.com/watch?v=nA5mjESFgy0,demon-easy,y
13,Skeletal Shenanigans ,iPad,GDxPiano,,2025-12-20,https://www.youtube.com/watch?v=Ze_EV-rtzm4,demon-medium,y
14,Skeletal Shenanigans ,keyboard; 2nd coin,veinti.28,,2026-04-13,https://www.tiktok.com/@veinti.28/video/7628008298985426184,demon-medium,
15,Sonic Wave 68-83%,"keyboard, ",nilgd666,,2026-06-07,https://www.tiktok.com/@nilgd666/video/7648698272063704351,demon-extreme,
16,Denouement,keyboard,veinti.28,,2026-06-06,https://www.instagram.com/p/DZQvuO0JQWN/,demon-insane,y
17,Sonic Wave 87-100%,"keyboard, ",nilgd666,,2026-06-03,https://www.tiktok.com/@nilgd666/video/7647242902170586399,demon-extreme,
18,B,iPad,GDxPiano,,2026-04-29,https://www.youtube.com/watch?v=6XlLZ_xZq-U&pp=0gcJCSgLAYcqIYzv,demon-medium,y
19,-Sirius-,iPad,GDxPiano,,2026-02-11,https://www.youtube.com/watch?v=eLxGvb7YUlE,demon-medium,y
20,iSpyWithMyLittleEye 1.25x speed,iPad,GDxPiano,,2026-06-29,https://www.youtube.com/watch?v=ZiksPox5xJE,demon-easy,
21,Deadlocked,iPad,GDxPiano,,2026-02-27,https://www.youtube.com/watch?v=IlpmP1YiSRE,demon-medium,y
22,Theory of Everything II,iPad,GDxPiano,,2026-02-07,https://www.youtube.com/watch?v=cbll6sTbiXQ,demon-easy,y
23,Deadlocked 83%,"iPhone; 1st, 2nd, 3rd coin",keytoucher1434,,2026-05-27,https://www.instagram.com/p/DY20-U9AeK1/,demon-medium,
24,Fingerdash 1.5x speed,"iPad, no coins",GDxPiano,,2026-05-11,https://www.youtube.com/watch?v=sqaFTg0eY5c,insane,
25,Windy Landscape 68-100%,keyboard,Ladidady,,2026-01-03,https://www.youtube.com/shorts/LrELiKnman8,demon-insane,
26,Jumper 2 hands + foot,"Joy-Con with foot; 1st, 2nd, 3rd coin",funkopotamuswes,,2026-05-14,https://www.instagram.com/p/DYVVEOcPoh6/,harder,y
27,Clubstep,"iPad; 1st, 2nd, 3rd coin",GDxPiano,,2026-01-18,https://www.youtube.com/watch?v=vgMYoMAkeJY,demon-easy,
28,Clubstep,iPad; 1st coin,OllieCR,,2025-12-15,https://www.instagram.com/p/DSSieuEDGbd/,demon-easy,y
29,Acu 26%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619927207149948190,demon-extreme,
30,Electrodynamix,iPad,GDxPiano,,2026-01-16,https://www.youtube.com/watch?v=FfD3s8zRr1M,insane,y
31,Clutterfunk,"iPad; 1st, 2nd, 3rd coin",GDxPiano,,2026-01-22,https://www.youtube.com/watch?v=6EUXGKddaRc,insane,
32,Clutterfunk,iPad; 3rd coin,resonance.society,,2026-04-18,https://www.tiktok.com/@resonance.society/video/7629973744315895061,insane,
33,Clutterfunk,iPad; no coins,OllieCR,,2025-12-12,https://www.instagram.com/p/DSK6WPjDFbm/,insane,
34,Clutterfunk,iPad;,AlphaLynx,,2025-11-25,https://www.youtube.com/shorts/RYu00nx4Vko,insane,
35,Clutterfunk,keyboard,ETM_Games,,2022-01-11,https://www.youtube.com/watch?v=HzwSfX68hYM,insane,y
36,Electroman Adventures ,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-03-20,https://www.tiktok.com/@veinti.28/video/7619178601950268692,insane,
37,Slaughterhouse 26-32%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619927847217417502,demon-extreme,
38,Sakupen Hell 16%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619923850704260382,demon-extreme,
39,iSpyWithMyLittleEye,iPad,GDxPiano,,2025-12-30,https://www.youtube.com/watch?v=JxQ1zD-3Fm4,demon-easy,y
40,iSpyWithMyLittleEye,iPad,Pianotopian,,2026-01-18,https://www.youtube.com/watch?v=awXyisjfTWI,demon-easy,
41,iSpyWithMyLittleEye,keyboard,veinti.28,,2026-06-26,https://www.instagram.com/p/DaBR0BTJlKi/,demon-easy,
42,Unnerfed Sakupen Circles 39% + 80-100%,iPad,GDxPiano,,2026-05-24,https://www.youtube.com/watch?v=ZUab-Ew8AyY ,demon-extreme,
43,Fingerdash,"iPhone; 1st, 2nd, 3rd coin",keytoucher1434,,2026-01-25,https://www.instagram.com/p/DT876EXEcyp/,insane,y
