#,Name,Notes,Player,,Date,Player Video,Difficulty,verifier?
1,Future Funk,iPad,GDxPiano,,2026-03-03,https://www.youtube.com/watch?v=St4KgD8LMr4,demon-hard,y
2,Jawbreaker,iPad,GDxPiano,,2026-04-19,https://www.youtube.com/watch?v=bbRGglZ9MKw,demon-hard,y
3,Nine Circles,iPad,GDxPiano,,2026-01-14,https://www.youtube.com/watch?v=GkW_tnkcbUc,demon-hard,y
4,Megalovania,iPad,GDxPiano,,2026-03-30,https://www.youtube.com/watch?v=oSbIMuiA4iA,demon-hard,y
5,Explorers ,iPad,GDxPiano,,2026-03-12,https://www.youtube.com/watch?v=QgdR_ER9ryA,demon-medium,y
6,Ultra Violence,iPad,GDxPiano,,2026-01-26,https://www.youtube.com/watch?v=3huJkycz4C8,demon-medium,y
7,Sonic Wave 68-83,"keyboard, ",nilgd666,,2026-06-07,https://www.tiktok.com/@nilgd666/video/7648698272063704351,demon-extreme,
8,Skeletal Shenanigans ,iPad,GDxPiano,,2025-12-20,https://www.youtube.com/watch?v=Ze_EV-rtzm4,demon-medium,y
9,Skeletal Shenanigans ,keyboard; 2nd coin,veinti.28,,2026-04-24,https://www.instagram.com/p/DXh2Upil93c/,demon-medium,
10,-Sirius-,iPad,GDxPiano,,2026-02-11,https://www.youtube.com/watch?v=eLxGvb7YUlE,demon-medium,y
11,Sonic Wave 87-100,"keyboard, ",nilgd666,,2026-06-03,https://www.tiktok.com/@nilgd666/video/7647242902170586399,demon-extreme,
12,B,iPad,GDxPiano,,2026-04-29,https://www.youtube.com/watch?v=6XlLZ_xZq-U&pp=0gcJCSgLAYcqIYzv,demon-medium,y
13,iSpyWithMyLittleEye 1.25x speed,iPad,GDxPiano,,2026-06-29,https://www.youtube.com/watch?v=ZiksPox5xJE,demon-easy,
14,Deadlocked,iPad,GDxPiano,,2026-02-27,https://www.youtube.com/watch?v=IlpmP1YiSRE,demon-medium,y
15,Deadlocked 83%,"iPhone; 1st, 2nd, 3rd coin",keytoucher1434,,2026-05-27,https://www.instagram.com/p/DY20-U9AeK1/,demon-medium,
16,Acu 26%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619927207149948190,demon-extreme,
17,Fingerdash 1.5x speed,"iPad, no coins",GDxPiano,,2026-05-11,https://www.youtube.com/watch?v=sqaFTg0eY5c,insane,
18,Jumper 2 hands + foot,"Joy-Con with foot; 1st, 2nd, 3rd coin",funkopotamuswes,,2026-05-14,https://www.instagram.com/p/DYVVEOcPoh6/,harder,y
19,Death Moon,iPad,GDxPiano,,2026-03-17,https://www.youtube.com/watch?v=nA5mjESFgy0,demon-easy,y
20,iSpyWithMyLittleEye,iPad,GDxPiano,,2025-12-30,https://www.youtube.com/watch?v=JxQ1zD-3Fm4,demon-easy,y
21,iSpyWithMyLittleEye,iPad,Pianotopian,,2026-01-18,https://www.youtube.com/watch?v=awXyisjfTWI,demon-easy,
22,iSpyWithMyLittleEye,keyboard,veinti.28,,2026-06-26,https://www.instagram.com/p/DaBR0BTJlKi/,demon-easy,
23,Theory of Everything II,iPad,GDxPiano,,2026-02-07,https://www.youtube.com/watch?v=cbll6sTbiXQ,demon-easy,y
24,Denouement,keyboard,veinti.28,,2026-06-06,https://www.instagram.com/p/DZQvuO0JQWN/,demon-insane,y
25,Supersonic 5%,keyboard,Aurorae_Drago,,2024-09-10,https://www.youtube.com/shorts/7UkDF8fb0eo,demon-insane,
26,Sakupen Hell 16%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619923850704260382,demon-extreme,
27,Slaughterhouse 26-32%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619927847217417502,demon-extreme,
28,Clubstep,"iPad; 1st, 2nd, 3rd coin",GDxPiano,,2026-01-18,https://www.youtube.com/watch?v=vgMYoMAkeJY,demon-easy,
29,Clubstep,iPad; 1st coin,OllieCR,,2025-12-15,https://www.instagram.com/p/DSSieuEDGbd/,demon-easy,y
30,Fingerdash,"iPhone; 1st, 2nd, 3rd coin",keytoucher1434,,2026-01-25,https://www.instagram.com/p/DT876EXEcyp/,insane,y
31,Electrodynamix,iPad,GDxPiano,,2026-01-16,https://www.youtube.com/watch?v=FfD3s8zRr1M,insane,y
32,Unnerfed Sakupen Circles 39% + 80-100%,iPad,GDxPiano,,2026-05-24,https://www.youtube.com/watch?v=ZUab-Ew8AyY ,demon-extreme,
33,Polargeist 2 hands + foot,iPad,GDxPiano,,2026-02-17,https://www.youtube.com/watch?v=0T5Fo2JOqSI,normal,y
34,Wasureta 9-20%,iPhone,keytoucher1434,,2026-03-12,https://www.instagram.com/p/DVzoNb3kcyg/,demon-extreme,
35,ReTraY blindfolded,iPad,GDxPiano,,2026-03-23,https://www.youtube.com/watch?v=GrFXq8l65oo,normal,y
36,Stereo Madness 2 hands + foot,"iPad,",GDxPiano,,2026-01-07,https://www.youtube.com/watch?v=agxgIR-Okh8&pp=0gcJCSgLAYcqIYzv,easy,y
37,Back on Track 2 hands + foot,"iPad, ",GDxPiano,,2026-01-30,https://www.youtube.com/watch?v=igf6HAkWBG4,easy,y
38,Clutterfunk,"iPad; 1st, 2nd, 3rd coin",GDxPiano,,2026-01-22,https://www.youtube.com/watch?v=6EUXGKddaRc,insane,
39,Clutterfunk,iPad; no coins,OllieCR,,2025-12-12,https://www.instagram.com/p/DSK6WPjDFbm/,insane,
40,Clutterfunk,iPad;,AlphaLynx,,2025-11-25,https://www.youtube.com/shorts/RYu00nx4Vko,insane,y
41,Clutterfunk,iPad; 3rd coin,resonance.society,,2026-04-18,https://www.tiktok.com/@resonance.society/video/7629973744315895061,insane,
42,Sonic Wave 16%,iPad,OllieCR,,2025-12-14,https://www.tiktok.com/@olliecrpiano/video/7583729628544535830,demon-extreme,
43,Poltergeist 26%,keyboard,keytoucher1434,,2026-06-02,https://www.instagram.com/p/DZD25zCxdZN/,demon-insane,
44,Acu 13%,keyboard,keytoucher1434,,2026-05-31,https://www.instagram.com/p/DZBe-1BxuDr/,demon-extreme,
45,Bloodbath 53-71%,iPhone,bloonkbok,,2026-06-08,https://www.tiktok.com/@bloonkbok/video/7648891019068460319,demon-extreme,
46,Xmas Challenge,iPad,Pianotopian,,2025-12-25,https://www.youtube.com/watch?v=r5crtpnf894,easy,y
47,LIMBO 82-100%,iPad,GDxPiano,,2026-06-13,https://www.youtube.com/watch?v=jOLl8fY79B0 ,demon-extreme,
48,Take Two 45%,"keyboard, 2P level",keytoucher1434,,2026-05-14,https://www.instagram.com/p/DYVXQVERc6Q/,demon-medium,
49,Mountain King 64%,iPhone,keytoucher1434,,2026-02-07,https://www.instagram.com/p/DUefqF9kRyx/,demon-medium,
50,Power Trip,iPad,Pianotopian,,2026-01-09,https://www.youtube.com/watch?v=7QhzGRp4b3c,harder,y
51,Blast Processing,iPad,Pianotopian,,2025-12-31,https://www.youtube.com/watch?v=SEItiSlKfeU,harder,
52,Blast Processing,iPad,GDxPiano,,2026-01-05,https://www.youtube.com/watch?v=WyEX5C-kObE,harder,
53,Jumper,"iPad; 1st, 2nd, 3rd coin",Pianotopian,,2026-01-24,https://www.youtube.com/watch?v=RggnOC4oC8k,harder,
54,Jumper ,iPad; 2nd coin,AlphaLynx,,2025-11-05,https://www.instagram.com/p/DQswMHokTOe/,harder,y
55,Jumper,iPad; 2nd coin,resonance.society,,2026-04-03,https://www.tiktok.com/@resonance.society/video/7624367902136798485,harder,
56,Jumper,keyboard; 2nd coin,veinti.28,,2026-04-18,https://www.instagram.com/reel/DXSobJYCXAv/,harder,
57,Jumper,keyboard;,lislpiano,,2026-03-25,https://www.tiktok.com/@lislpiano/video/7621192235937287446,harder,
58,Hexagon Force,"iPad, ",GDxPiano,,2026-01-11,https://www.youtube.com/watch?v=GcGnEQPdPc4,insane,y
59,Hexagon Force,keyboard,veinti.28,,2026-05-09,https://www.instagram.com/p/DYGBT65PFCc/,insane,
60,Time Machine,"iPad; 1st, 2nd coins",AlphaLynx,,2025-11-11,https://www.instagram.com/reel/DQ7AABDCeuc/,harder,y
61,Time Machine,"iPad; 1st, 3rd coin",resonance.society,,2026-04-04,https://www.tiktok.com/@resonance.society/video/7624730490087476500,harder,
62,Time Machine,iPad,Pianotopian,,2026-03-01,https://www.youtube.com/watch?v=b_JTHeaQd-E,harder,
63,The Nightmare,iPad,GDxPiano,,2026-01-09,https://www.youtube.com/watch?v=YVrqJW_jgn8,demon-easy,y
64,The Nightmare,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619926885153197342,demon-easy,
65,Cant Let Go,"iPad; 1st, 2nd, 3rd coin",AlphaLynx,,2025-11-02,https://www.instagram.com/p/DQkjNVgks4M/,hard,y
66,Cant Let Go,"iPad; 1st, 2nd, 3rd coin",Pianotopian,,2025-11-24,https://www.youtube.com/watch?v=th3xdQFE87Q,hard,
67,Cant Let Go,iPad; all 3 coins,resonance.society,,2026-04-01,https://www.tiktok.com/@resonance.society/video/7623670627031108884,hard,
68,Cant Let Go,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-06-18,https://www.instagram.com/p/DZvWbtMJOh6/,hard,
69,Cant Let Go,"keyboard; 1st, 2nd coin",keytoucher1434,,2025-11-16,https://www.tiktok.com/@keytoucher1434/video/7573445894188715295,hard,
70,Press Start,iPad,Pianotopian,,2025-12-13,https://www.youtube.com/watch?v=b1sQf4IJec4,normal,y
71,Sunshine,keyboard,veinti.28,,2026-05-16,https://www.instagram.com/p/DYaEPJnvUV-/,harder,y
72,Electroman Adventures,"iPad, all 3 coins",AlphaLynx,,2025-12-09,https://www.instagram.com/reel/DSBlDaliTRh/,insane,y
73,Electroman Adventures ,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-04-29,https://www.instagram.com/p/DXupal-iYKq/,insane,
74,xStep,iPad,AlphaLynx,,2025-11-19,https://www.instagram.com/reel/DRN_WOEgeRf/,insane,y
75,xStep,iPad; 1st coin,resonance.society,,2026-04-06,https://www.tiktok.com/@resonance.society/video/7625398926719438100,insane,
76,Back on Track 2 hands,iPad,OllieCR,,2025-12-11,https://www.instagram.com/p/DSIPNNkjDuV/,easy,
77,Nock Em,iPad,Pianotopian,,2025-12-22,https://www.youtube.com/watch?v=xQQnB5pVSMQ,hard,y
78,MikuMikuMikuMiku 42%,keyboard,keytoucher1434,,2026-06-26,https://www.instagram.com/p/DaEhhulxR5m/,demon-insane,
79,Sakupen Egg 39%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619923602518887711,demon-medium,
80,Deadlocked 36%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619922942645816607,demon-medium,
81,SpongeBob heart monitor 96%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619924804627352862,unrated,
82,Airborne Robots,iPad,Pianotopian,,2025-12-27,https://www.youtube.com/watch?v=6yta8dnduzE,hard,y
83,Theory of Everything,iPad,AlphaLynx,,2025-12-05,https://www.youtube.com/shorts/8g5RTuzHY-o,insane,y
84,Cycles,"iPad; 1st, 2nd coins",AlphaLynx,,2025-11-15,https://www.instagram.com/reel/DRDmNrZAVHf/,harder,y
85,Cycles,"iPad; 1st, 3rd coin",Pianotopian,,2026-05-14,https://www.youtube.com/watch?v=BbuKXmi9s_0,harder,
86,Cycles,iPad,resonance.society,,2026-04-05,https://www.tiktok.com/@resonance.society/video/7625073639041289492,harder,
87,Cycles,keyboard,veinti.28,,2026-04-14,https://www.instagram.com/p/DXHu3VXj3eU/,harder,
88,Dry Out,iPad; all 3 coins,AlphaLynx,,2025-10-19,https://www.instagram.com/reel/DP95TcTklLI/,normal,y
89,Dry Out,"iPad; 1st, 2nd coin",resonance.society,,2026-03-30,https://www.tiktok.com/@resonance.society/video/7622935210782461205,normal,
90,Dry Out ,iPad,Pianotopian,,2025-11-02,https://www.youtube.com/watch?v=xP6FKVvPEwc,normal,
91,Base After Base,"iPhone; 1st, 2nd, 3rd coin",bloonkbok,,2026-06-01,https://www.tiktok.com/@bloonkbok/video/7646191872490196255,hard,
92,Base After Base,"Phone; 1st, 2nd, 3rd coin",FreezeMario,,2025-12-17,https://www.youtube.com/watch?v=b0zdRoavmK0,hard,
93,Base After Base,iPad; all 3 coins,AlphaLynx,,2025-10-23,https://www.instagram.com/reel/DQIdwYlgWIq/,hard,y
94,Base After Base,"iPad; 1st, 2nd, 3rd coin",Pianotopian,,2025-11-09,https://www.youtube.com/watch?v=YesfEqsw8CA,hard,
95,Base After Base,iPad; all 3 coins,resonance.society,,2026-03-31,https://www.tiktok.com/@resonance.society/video/7623312752521547028,hard,
96,Base After Base,"keyboard; 1st, 2nd, 3rd coin",veinti.28,,2026-05-26,https://www.instagram.com/p/DYyeWz7Mawg/,hard,
97,Base After Base,keyboard,Mestra_Flow,,2026-06-29,https://www.tiktok.com/@mestra_flow/video/7656627499916463368,hard,
98,Change of Scene 2 hands + foot 74-83%,keyboard,is_that_radders,,2026-02-17,https://www.tiktok.com/@is_that_radders/video/7607618367570136342,demon-easy,
99,Polargeist,iPad;,Pianotopian,,2024-12-30,https://www.youtube.com/watch?v=yCS7v3RT9UA,normal,y
100,Polargeist,iPad;,AlphaLynx,,2025-10-04,https://www.instagram.com/reel/DPXS41agUC1/,normal,
101,Polargeist,iPad; ,resonance.society,,2026-03-29,https://www.tiktok.com/@resonance.society/video/7622486388465847572,normal,
102,Viking Arena,iPad,Pianotopian,,2025-12-19,https://www.youtube.com/watch?v=Rcvwsl841Wo,normal,y
103,Bloodbath 93-99%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619924513488211230,demon-extreme,
104,Bloodbath 7%,"keyboard, ",LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619925932614225182,demon-extreme,
105,Acu 6%,iPhone,keytoucher1434,,2026-05-26,https://www.instagram.com/p/DY0tpStRwQQ/,demon-extreme,
106,Childlike,keyboard,LShrinkOn,,2026-03-22,https://www.tiktok.com/@lshrinkon/video/7619925719782526239,unrated,y
107,Bloodbath 4%,iPhone,keytoucher1434,,2025-12-23,https://www.instagram.com/p/DSoByY3kekB/,demon-extreme,
108,Bloodbath 16-27%,iPad,OllieCR,,2025-12-13,https://www.instagram.com/p/DSNajvyDOsb/,demon-extreme,
109,The Challenge,iPad,Pianotopian,,2025-12-25,https://youtu.be/r5crtpnf894?si=yP-8Y_iSX767hQ3v&t=87,unrated,y
110,Stereo Madness,"iPad, beat with toe",shasaid1thing,,2026-01-10,https://www.tiktok.com/@shasaid1thing/video/7593823603011947809,easy,
111,Stereo Madness ,"iPhone,",GDNinjaOfficial,,2026-06-10,https://www.youtube.com/shorts/LFj0mjoY1ZE,easy,
112,Stereo Madness ,"iPad, all coins",Pianotopian,,2024-06-26,https://www.youtube.com/watch?v=SFGAzy1imEU,easy,y
113,Stereo Madness ,"iPad, all coins",AlphaLynx,,2025-09-28,https://www.instagram.com/reel/DPHyQVhElvg/,easy,
114,Stereo Madness ,iPad,ollie_r08,,2025-10-03,https://www.tiktok.com/@ollie_r08/video/7557153626964217143,easy,
115,Stereo Madness ,iPad; partial clip in video  (46-100),VegtamMusicCovers,,2024-07-26,https://www.youtube.com/shorts/aImgrUp_7tk,easy,
116,Stereo Madness,iPad,notsethagain,,2026-03-11,https://www.tiktok.com/@notsethagain/video/7615845365966785823,easy,
117,Stereo Madness,iPad;,resonance.society,,2026-03-27,https://www.tiktok.com/@resonance.society/video/7621749199201275157,easy,
118,Stereo Madness ,keyboard,aidanplayspiano1,,2026-01-24,https://www.tiktok.com/@aidanplayspiano1/video/7599100574453304589,easy,
119,Stereo Madness,keyboard,rodacosta22,,2026-06-21,https://www.tiktok.com/@rodacosta22/video/7653649886503554312,easy,
120,Stereo Madness,keyboard,Mestra_Flow,,2026-05-21,https://www.tiktok.com/@mestra_flow/video/7642178919839337736,easy,
121,Back on Track,"iPhone, all coins",jerryyyzhang,,2026-05-19,https://www.tiktok.com/@jerryyyzhang/video/7641448518669847822,easy,
122,Back on Track,trackpad,mikeys_piano,,2025-11-22,https://www.instagram.com/p/DRW8ZXUilAq/,easy,
123,Back on Track,iPad; all 3 coins,Pianotopian,,2024-07-13,https://www.youtube.com/watch?v=sCumMcGZY40,easy,y
124,Back on Track,"iPad, all coins",AlphaLynx,,2025-09-30,https://www.instagram.com/reel/DPNP6X9j82y/,easy,
125,Back on Track,iPad,resonance.society,,2026-04-01,https://www.tiktok.com/@resonance.society/video/7623670627031108884,easy,
126,Back on Track,iPad,TheEpicGamerBoyYT,,2025-11-26,https://www.youtube.com/watch?v=Klb0VA-VvDk,easy,
127,Back on Track,keyboard,dena1628,,2026-06-10,https://www.tiktok.com/@dena1628/video/7649519518896688406,easy,
128,Back on Track,keyboard,Mestra_Flow,,2026-07-01,https://www.tiktok.com/@mestra_flow/video/7657398501847878920,easy,
129,The Seven Seas,iPad,Pianotopian,,2025-12-07,https://www.youtube.com/watch?v=6EDw8Y8W1JQ,easy,y
130,that wave challenge thing (idk),iPhone,alexpiano111,,2025-10-25,https://www.tiktok.com/@alexpiano111/video/7565252376563551501,unrated,y
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
